keys,en,ru
RAPTOR_CARD_1,"Move a baby that is awake onto a free space of your choice on the tile where the mother is located (a baby that is already on the same tile as the mother can move to another space). This move must be carried out without crossing spaces that are occupied or on which there is a fire token. Then, shuffle your draw pile and your discard pile (including this card) to form a new draw pile","Переместите любого детеныша, который бодрствует, на свободное пространство плитки, где находится самка раптора (детеныш, который уже находится на плитки, где стоит его мать, может переместиться по этой плитке). Этот ход
должен выполняться без пересечения пространства которое занято, или на котором есть маркер пожара. Затем перетасуйте вашу игровую колода и колоду сброса, в том числе и эту карту, чтобы сформировать новую колоду"
RAPTOR_CARD_2,"Remove the mother from the board. Then, after the Scientist player has used up all of his action points, place her back on a free space of your choice. The mother, hidden by the forest, observes the scientists. On the next turn, the Scientist player will have to show you which card has been selected before you choose yours","Снимите фишку самки раптора с доски. Затем, после того как игрок за ученых использует все свои очки действия, поместите ее обратно на свободное пространство по Вашему выбору. Самка раптора, скрытая в лесу, замечает ученых.
В следующий свой ход, игрок за ученых должен будет показать Вам свою выбранную карту, прежде чем Вы выберете вашу"
RAPTOR_CARD_3,"Frighten one scientist of your choice (lay down the figurine). This scientist becomes inactive (can neither shoot, nor move, nor make fire, nor use sleeping gas) until he is set back upright again. The Scientist player will have to spend one action point to set back upright, but cannot do it this turn","Напугайте одного ученого по Вашему выбору (положите на бок фигурку ученого). Этот ученый становится неактивным (не может стрелять, Двигаться, зажигать огонь, использовать сонный газ), пока его снова не установят. Игроку за ученых придется потратить одно очко действия на то, чтобы установить его в вертикальное положение, но он может это сделать только в следующий ход"
RAPTOR_CARD_4,Move one or two babies that are awake onto one or two free spaces of your choice on the tile where the mother is located (a baby that is already on the same tile as the mother can move to another space). These moves must be carried out without,"Переместите одного или двух детенышей, которые бодрствуют на одно, или два свободных пространства на плитке, где находится самка раптора (детеныш, который уже находится на плитке, где стоит его мать, может переместиться по этой плитке).Эти два хода должны выполняться без пересечения пространства которое занято, или на котором есть жетон пожара"
RAPTOR_CARD_5,"Remove two sleep tokens from the mother (give them back to the Scientist player who places them back ammunition-side up on the upper right space of his player aid), or wake up two baby raptors (or remove one sleep token and wake up one baby)","Удалите два жетона сна с самки раптора (вернуть их игроку за ученых, который кладет их обратно боеприпасами вверх на своем игровом пространстве), или разбудить двух детенышей раптора (или удалить один жетон сна и разбудить одного детеныша)."
RAPTOR_CARD_6,"Remove the mother from the board. Then, after the Scientist player has used up all of his action points, place her back on a free space of your choice. The mother, hidden by the forest, observes the scientists. On the next turn, the Scientist player will have to show you which card has been selected before you choose yours.","Снимите фишку самки раптора с доски. Затем, после того как игрок за ученых использует все свои очки действия, поместите ее обратно на свободное пространство по Вашему выбору. Самка раптора, скрытая в лесу, замечает ученых. В следующий свой ход, игрок за ученых должен будет показать Вам свою выбранную карту, прежде чем Вы выберете свою"
RAPTOR_CARD_7,"Remove three sleep tokens from the mother (give them back to the Scientist player who places them back ammunition-side up on the upper right space of his player aid), or wake up three baby raptors (or do a combination of both)","Удалите три жетона сна с самки раптора (вернуть их игроку за ученых, который кладет их обратно боеприпасами вверх на своем игровом пространстве), или можно удалить один жетон сна и разбудить двух детенышей раптора (или удалить два жетона сна и разбудить одного детеныша)"
RAPTOR_CARD_8,"Frighten one or two scientists of your choice (lay down their figurine). These scientists become inactive (they can neither shoot, nor move, nor make fire, nor use sleeping gas) until they are set back upright again. The Scientist player will have to spend one action point to set each of them back upright, but cannot do it this turn","Напугайте одного ученого по Вашему выбору (положите на бок фигурку ученого). Этот ученый становится неактивным (не может стрелять, двигаться, зажигать огонь, использовать сонный газ), пока его Снова не установят в вертикальное
положение. Игроку за ученых придется потратить одно очко действия на то, что бы установить его в вертикальное положение, но он может это сделать только в следующий ход"
RAPTOR_CARD_9,No effect,Карта не имеет эффекта
HUNTER_CARD_1,"Put one baby raptor to sleep. The baby raptor must be located on the same tile as a scientist or on an orthogonally adjacent tile. Lay down the baby raptor figurine. The Raptor player will have to spend 1 action point to put this baby back upright, but cannot do it in the same turn. Then, shuffle your draw pile and your discard pile (including this card) to form a new draw pile","Усыпите одного детеныша раптор, он должен быть расположен на той же Плитке что и ученый, или на примыкающей соседней плитке (не по диагонали). Положите на бок фигурку детеныша. Игроку за раптора придется
потратить одно очко действия, чтобы поставить его снова в вертикальное положение, но он может это сделать только в свой следующий ход. Затем перетасуйте вашу игровую колода и колоду сброса, в том числе и эту карту, чтобы сформировать новую колоду"
HUNTER_CARD_2,"Place one or two scientists from your reserve on empty spaces located alongside the long edges the board. You can only place these scientists on the square tiles (not on the L-shaped tiles). If you do not have any scientists left in your reserve, you do nothing this turn","Разместите одного, или двух ученых из Вашего резерва на свободных местах в рядах, расположенных на длинных краях игрового поля. Вы не можете разместить ученых на Lи Г-образных плитках. Если у Вас нет ученых в резерве, ничего не происходит в этот ход"
HUNTER_CARD_3,"Perform one or two moves with a Jeep. When moving with a Jeep, a scientist can move as many spaces as you like in a straight line as long as he doesn't run into an obstacle (rock, space occupied by a raptor or by a scientist). If the scientist drives over a fire token, the fire is put down and the token is removed from the board. You may split these two moves between two different scientists","Выполните один, или два хода с помощью ""Джипов"". Сыграв эту карту переместите ученого по прямой на любое расстояние пока не упретесь в камень, раптора, или другого ученого. Если ученый остановился на фишке огня, эта фишка удаляется с игрового поля. Вы можете разделить эти два движения между двумя фигурками ученых"
HUNTER_CARD_4,"Put one or two baby raptors to sleep. The baby raptors must be located on the same tile as a scientist or on an orthogonally adjacent tile. Lay down the baby raptor figurines. The Raptor player will have to spend 1 action point to put each of these babies back upright, but cannot do it in the same turn","Усыпите одного, или двух детенышей раптора. Они должны быть расположены на той же плитке что и ученый, или на примыкающей соседней плитке (не по диагонали). Положите на бок фигурки детенышей. Игроку за раптора придется потратить одно очко действия на каждого детеныша, чтобы поставить их снова в вертикальное положение, но он может это сделать только в свой следующий ход"
HUNTER_CARD_5,Place two fire tokens on free spaces of the board. A fire token can only be placed orthogonally adjacent to a scientist or to an existing fire token (including one that was placed this turn),"Поместите два жетона огня на свободное пространство игрового поля. Жетон огня может быть размещен рядом с ученым (только не по диагонали), или с уже существующим жетоном огня (в том числе который размещен на этом ходу)"
HUNTER_CARD_6,"Place one or two scientists from your reserve on empty spaces located alongside the long edges the board. You can only place these scientists on the square tiles (not on the L-shaped tiles). If you do not have any scientists left in your reserve, you do nothing this turn","Разместите одного, или двух ученых из Вашего резерва на свободных местах в рядах, расположенных на длинных краях игрового поля. Вы не можете разместить ученых на L и Г-образных плитках. Если у Вас нет ученых в резерве, ничего не происходит в этот ход"
HUNTER_CARD_7,Place three fire tokens on free spaces of the board. A fire token can only be placed othogonally adjacent to a scientist or to an existing fire token (including one that was placed this turn),"Поместите два жетона огня на свободное пространство игрового поля. Жетон огня может быть размещен рядом с ученым (только не по диагонали), или с уже существующим жетоном огня (в том числе который размещен на этом ходу)"
HUNTER_CARD_8,"Perform up to four moves with a Jeep. When moving with a Jeep, a scientist can move as many spaces as you like in a straight line as long as he doesn't run into an obstacle (rock, space occupied by a raptor or by a scientist). If the scientist drives over a fire token, the fire is put down and the token is removed from the board. You may split these moves between different scientists","Выполните один, или два хода с помощью ""Джипов. Сыграв эту карту переместите ученого по прямой на любое расстояние пока не упретесь в камень, раптора, или другого ученого. Если ученый остановился
на фишке огня, эта фишка удаляется с игрового поля. Вы можете разделить эти два движения между двумя фигурками ученых"
HUNTER_CARD_9,No effect,Карта не имеет эффекта